name,state,id,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Concordia University,Michigan,26,Private,4 Year,10310,29320,39630,29320,39630
Concordia University,Oregon,54,Private,4 Year,9520,30908,40428,30908,40428
Concordia University,Nebraska,50,Private,4 Year,8470,32220,40690,32220,40690
Concordia University Chicago,Illinois,36,Private,4 Year,9748,32078,44926,32078,44926
Concordia University Irvine,California,6,Private,4 Year,11300,35400,46700,35400,46700
Concordia University St. Paul,Minnesota,24,Private,4 Year,9000,22275,31275,22275,31275
Concordia University Texas,Texas,23,Private,4 Year,11049,34910,42828,34910,42828
Concordia University Wisconsin,Wisconsin,35,Private,4 Year,10860,29450,40310,29450,40310
Connecticut College,Connecticut,9,Private,4 Year,15150,54820,69970,54820,69970
Connors State College,Oklahoma,78,Public,2 Year,6032,4328,10360,9031,15063
Conservatory of Music of Puerto Rico,NA,41,Public,4 Year,NA,4000,4000,4000,4000
Contra Costa College,California,6,Public,2 Year,NA,1392,1392,9162,9162
Converse College,South Carolina,28,Private,4 Year,10930,49690,29620,49690,29620
Cooper Union for the Advancement of Science and Art,New York,25,Private,4 Year,16638,46700,63338,46700,63338
Copiah-Lincoln Community College,Mississippi,31,Public,2 Year,3850,3490,7030,5490,9030
Copper Mountain College,California,6,Public,2 Year,NA,1388,1388,9120,9120
Coppin State University,Maryland,20,Public,4 Year,10390,6625,21015,12896,23286
Corban University,Oregon,54,Private,4 Year,10228,33040,43268,33040,43268
Cornell College,Iowa,34,Private,4 Year,9384,42299,51683,42299,51683
Cornell University,New York,25,Private,4 Year,14816,55498,70004,55498,70004
Cornerstone University,Michigan,26,Private,4 Year,9300,24500,33800,24500,33800
Corning Community College,New York,25,Public,2 Year,9600,5348,14948,10148,48748
Cornish College of the Arts,Washington,44,Private,4 Year,12400,41642,54042,41642,54042
Cossatot Community College of the University of Arkansas,Arkansas,5,Public,2 Year,NA,3450,3450,4290,4290
Cosumnes River College,California,6,Public,2 Year,NA,1416,1416,9546,9546
Cottey College,Missouri,47,Private,4 Year,7700,38150,28850,38150,28850
County College of Morris,New Jersey,45,Public,2 Year,NA,4920,4920,12060,12060
Covenant College,Georgia,12,Private,4 Year,10260,34330,44590,34330,44590
Cowley County Community College,Kansas,16,Public,2 Year,5200,3000,8200,4710,9910
Cox College,Missouri,47,Private,4 Year,NA,15510,15510,15510,15510
Crafton Hills College,California,6,Public,2 Year,NA,1425,1425,10125,10125
Craven Community College,North Carolina,29,Public,2 Year,NA,2578,2578,8338,8338
Creative Center,Nebraska,50,For Profit,4 Year,NA,27700,27700,27700,27700
Creighton University,Nebraska,50,Private,4 Year,11036,39916,50952,39916,50952
Criswell College,Texas,23,Private,4 Year,NA,13120,13120,13120,13120
Crossroads Bible College,Indiana,42,Private,4 Year,NA,12400,12400,12400,12400
Crowder College,Missouri,47,Public,2 Year,5564,3540,9104,5040,10604
Crowley's Ridge College,Arkansas,5,Private,2 Year,6350,13000,48350,13000,48350
Crown College,Minnesota,24,Private,4 Year,8660,26200,34860,26200,34860
Cuesta College,California,6,Public,2 Year,NA,1449,1449,9158,9158
Culinary Institute LeNotre,Texas,23,For Profit,2 Year,NA,15828,15828,15828,15828
Culinary Institute of America,New York,25,Private,4 Year,11560,32720,44280,32720,44280
Culver-Stockton College,Missouri,47,Private,4 Year,8520,26680,35200,26680,35200
Cumberland County College,New Jersey,45,Public,2 Year,NA,4500,4500,8700,8700
Cumberland University,Tennessee,37,Private,4 Year,9290,22890,32490,22890,32490
Curry College,Massachusetts,38,Private,4 Year,15885,39720,55605,39720,55605
Cuyahoga Community College,Ohio,33,Public,2 Year,NA,3436,3436,8136,8136
Cuyamaca College,California,6,Public,2 Year,NA,1428,1428,9168,9168
Cypress College,California,6,Public,2 Year,NA,1414,1414,9154,9154
D'Youville College,New York,25,Private,4 Year,12224,26750,38974,26750,38974
Dabney S. Lancaster Community College,Virginia,27,Public,2 Year,NA,4710,4710,10008,10008
Daemen College,New York,25,Private,4 Year,12915,28580,41495,28580,41495
Dakota College at Bottineau,North Dakota,53,Public,2 Year,7380,4568,12178,6444,13654
Dakota County Technical College,Minnesota,24,Public,2 Year,NA,5712,5712,5712,5712
Dakota State University,South Dakota,46,Public,4 Year,6873,9276,16149,12249,48122
Dakota Wesleyan University,South Dakota,46,Private,4 Year,7350,27300,34650,27300,34650
Dallas Baptist University,Texas,23,Private,4 Year,7992,28870,36862,28870,36862
Dallas Christian College,Texas,23,Private,4 Year,9010,21620,26630,21620,26630
Dallas Institute of Funeral Service,Texas,23,Private,2 Year,NA,14970,14970,14970,14970
Dalton State College,Georgia,12,Public,4 Year,8950,4246,13486,12668,38649
Danville Area Community College,Illinois,36,Public,2 Year,NA,4650,4650,7950,7950
Danville Community College,Virginia,27,Public,2 Year,NA,4710,4710,10008,10008
Dartmouth College,New Hampshire,NH,Private,4 Year,15756,55453,71209,55453,71209
Davenport University,Michigan,26,Private,4 Year,9928,22800,32728,22800,32728
Davidson College,North Carolina,29,Private,4 Year,14372,51447,65848,51447,65848
Davidson County Community College,North Carolina,29,Public,2 Year,NA,2435,2435,8485,8485
Davis and Elkins College,West Virginia,32,Private,4 Year,9450,29390,38840,29390,38840
Davis College,New York,25,Private,4 Year,8100,21150,25250,21150,25250
Dawson Community College,Montana,22,Public,2 Year,6075,3720,9795,7770,13845
Daytona State College,Florida,11,Public,2 Year,NA,3109,3109,14898,14898
De Anza College,California,6,Public,2 Year,NA,1515,1515,8940,8940
Dean College,Massachusetts,38,Private,2 Year,16836,39734,56570,39734,56570
Defiance College,Ohio,33,Private,4 Year,10220,32730,42950,32730,42950
Del Mar College,Texas,23,Public,2 Year,NA,3210,3210,5780,5780
Delaware College of Art and Design,Delaware,2,Private,2 Year,12450,25395,37845,25395,37845
Delaware County Community College,Pennsylvania,30,Public,2 Year,NA,5960,5960,13400,13400
Delaware State University,Delaware,10,Public,4 Year,12480,7868,20058,16904,29094
